mouse,behaviour,stimulus,n_deliv_day1,n_deliv_day2,rate_day1,rate_day2,rate_ratio,p_rate,rr_lo,rr_hi,p_day1,p_day2,delta,odds_ratio,ci_lo,ci_hi,p_fisher,min_detectable_delta,q_fisher,q_rate,change_index,change_index_lo,change_index_hi
F3,attending,Pin prick,21,19,0.38095238095238093,0.0,0.0,0.003172098019021644,0.0037524405553552268,1.1264702428117062,0.38095238095238093,0.0,-0.38095238095238093,24.555555555555557,1.3040997246282646,462.3690176867834,0.0036288036288036293,0.33,0.010535236341687956,0.008316522148895448,0.0,0.0037524405553552268,1.1264702428117062
F3,escape,ALL,85,68,0.6941176470588235,0.19117647058823528,0.2754237288135593,4.614524499647464e-06,0.1570779123434219,0.512080821544189,0.4588235294117647,0.10294117647058823,-0.3558823529411764,6.965591397849463,2.922193820248507,16.603780072900257,1.165218321492479e-06,0.22,1.3982619857909749e-05,4.750245808460625e-05,0.2754237288135593,0.1570779123434219,0.512080821544189
F3,escape,Heat,15,14,1.4666666666666666,0.6428571428571429,0.4383116883116884,0.031554781749306614,0.2119096772297559,0.9657346882521759,0.8,0.21428571428571427,-0.5857142857142857,11.73469387755102,2.177842570906082,63.229106749686956,0.0028143307087426365,0.46,0.008626238612444213,0.05577865460736017,0.4383116883116884,0.2119096772297559,0.9657346882521759
F3,escape,Light touch,30,17,0.13333333333333333,0.0,0.0,0.12496097219191028,0.01055626210885076,3.642080014031127,0.13333333333333333,0.0,-0.13333333333333333,5.943396226415095,0.3008220208152692,117.42477697753772,0.28136125360917225,0.39,0.380195366105474,0.17355690582209762,0.0,0.01055626210885076,3.642080014031127
F3,escape,Mild touch,19,18,0.5263157894736842,0.0,0.0,0.001045887830201327,0.0029453049315405475,0.8578144103999432,0.47368421052631576,0.0,-0.47368421052631576,33.476190476190474,1.7644866970583912,635.1169043475659,0.0011333914559721009,0.38,0.003849254001414683,0.003372903613896155,0.0,0.0029453049315405475,0.8578144103999432
F3,escape,Pin prick,21,19,1.0952380952380953,0.21052631578947367,0.19221967963386724,0.0016761933754239906,0.07719784942454354,0.5802504535980435,0.6666666666666666,0.21052631578947367,-0.45614035087719296,6.659259259259259,1.6910621730170758,26.223597564666466,0.005131700798383588,0.31,0.013995547631955239,0.00497176001185082,0.19221967963386724,0.07719784942454354,0.5802504535980435
F3,flinch,ALL,85,68,0.5882352941176471,0.9264705882352942,1.575,0.36305039047561904,1.0861700472379496,2.2745050114808985,0.35294117647058826,0.38235294117647056,0.029411764705882304,0.8813530511643719,0.4572870875322123,1.6986773122957022,0.7377436482915409,0.2,0.8351814886319331,0.4292825563056306,1.575,1.0861700472379496,2.2745050114808985
F3,flinch,Heat,15,14,0.0,1.4285714285714286,,0.000900508502169157,2.6567586930916365,726.3434924567846,0.0,0.5714285714285714,0.5714285714285714,0.024667931688804556,0.0012334785956384395,0.49332583147790204,0.0006996501749125439,0.36,0.0027986006996501755,0.0030899801545020097,,2.6567586930916365,726.3434924567846
F3,flinch,Light touch,30,17,0.4,0.0,0.0,0.0348432671258983,0.004179164272573902,1.1922716210599986,0.23333333333333334,0.0,-0.23333333333333334,11.170212765957446,0.5971177895346609,208.95986591522572,0.03858276617003516,0.23,0.07467632161942288,0.060159667772423306,0.0,0.004179164272573902,1.1922716210599986
F3,flinch,Mild touch,19,18,0.5789473684210527,0.7222222222222222,1.2474747474747474,0.4157437992922701,0.5643328536702609,2.720813123706059,0.5263157894736842,0.2777777777777778,-0.2485380116959064,2.712918660287081,0.7217400551091335,10.197477062875452,0.18367154696409427,0.38,0.2687876297035526,0.48770333276084205,1.2474747474747474,0.5643328536702609,2.720813123706059
F3,flinch,Pin prick,21,19,1.2857142857142858,1.5789473684210527,1.2280701754385963,0.8004632807324286,0.7321374546563971,2.052452209561757,0.6190476190476191,0.6842105263157895,0.06516290726817042,0.7647058823529411,0.2148217373807627,2.722141127965558,0.7475272825662148,0.33,0.8409681928869917,0.8437793490770743,1.2280701754385963,0.7321374546563971,2.052452209561757
F3,guarding,ALL,85,68,0.8,0.3088235294117647,0.3860294117647059,0.20876026268411807,0.24167571114492076,0.636916936690841,0.35294117647058826,0.3088235294117647,-0.04411764705882354,1.214121097842028,0.618589105833263,2.382987392316708,0.6075161537869698,0.2,0.7194270242214116,0.26473221717188883,0.3860294117647059,0.24167571114492076,0.636916936690841
