session,mouse,sex,day,phase,fps,nUsed,guardMin,session_s,period,kind,pos,stim_code,stimulus,n_del,dur_s,dur_min,truncated,uncertain_pct,behaviour,class,n_bouts,total_dur_s,rate_per_min,dur_pct_time,n_per_delivery,dur_s_per_delivery,base,delta
3,F3,F,Day1 no drug,Baseline (no injection),30.00003000003,50758,0.0,1691.9316414,block4_Mild touch,stimulus,4,4,Mild touch,19,297.1997028,4.95332838,1,0.0,lickbite,affective,2,0.6333327,0.4037689098254374,0.2131000448631673,0.1052631578947368,0.0333332999999999,0.0,0.4037689098254374
3,F3,F,Day1 no drug,Baseline (no injection),30.00003000003,50758,0.0,1691.9316414,block4_Mild touch,stimulus,4,4,Mild touch,19,297.1997028,4.95332838,1,0.0,guarding,affective,2,1.999998,0.4037689098254374,0.6729475100942126,0.1052631578947368,0.1052630526315789,0.0,0.4037689098254374
3,F3,F,Day1 no drug,Baseline (no injection),30.00003000003,50758,0.0,1691.9316414,block4_Mild touch,stimulus,4,4,Mild touch,19,297.1997028,4.95332838,1,0.0,escape,affective,8,6.799993199999999,1.6150756393017496,2.2880215343203227,0.4210526315789473,0.3578943789473683,4.800004800004801,-3.184929160703051
3,F3,F,Day1 no drug,Baseline (no injection),30.00003000003,50758,0.0,1691.9316414,block4_Mild touch,stimulus,4,4,Mild touch,19,297.1997028,4.95332838,1,0.0,withdrawal,reflexive,19,,3.835804643341655,,1.0,,0.0,3.835804643341655
3,F3,F,Day1 no drug,Baseline (no injection),30.00003000003,50758,0.0,1691.9316414,block4_Mild touch,stimulus,4,4,Mild touch,19,297.1997028,4.95332838,1,0.0,flinch,reflexive,9,,1.8169600942144684,,0.4736842105263157,,0.0,1.8169600942144684
4,M1,M,Day1 no drug,Baseline (no injection),30.00003000003,50771,0.0,1692.3649743,block1_Mild touch,stimulus,1,1,Mild touch,26,299.9997,4.999994999999999,0,0.0,attending,affective,5,2.1666645,1.0000010000010002,0.7222222222222223,0.1923076923076923,0.08333325,0.0,1.0000010000010002
4,M1,M,Day1 no drug,Baseline (no injection),30.00003000003,50771,0.0,1692.3649743,block1_Mild touch,stimulus,1,1,Mild touch,26,299.9997,4.999994999999999,0,0.0,lickbite,affective,4,2.5666641,0.8000008000008001,0.8555555555555556,0.1538461538461538,0.0987178499999999,0.0,0.8000008000008001
4,M1,M,Day1 no drug,Baseline (no injection),30.00003000003,50771,0.0,1692.3649743,block1_Mild touch,stimulus,1,1,Mild touch,26,299.9997,4.999994999999999,0,0.0,guarding,affective,8,10.7666559,1.6000016000016002,3.588888888888889,0.3076923076923077,0.41410215,0.0,1.6000016000016002
4,M1,M,Day1 no drug,Baseline (no injection),30.00003000003,50771,0.0,1692.3649743,block1_Mild touch,stimulus,1,1,Mild touch,26,299.9997,4.999994999999999,0,0.0,escape,affective,11,12.9333204,2.2000022000022,4.311111111111112,0.4230769230769231,0.4974353999999999,3.4000034000034005,-1.2000012000012004
4,M1,M,Day1 no drug,Baseline (no injection),30.00003000003,50771,0.0,1692.3649743,block1_Mild touch,stimulus,1,1,Mild touch,26,299.9997,4.999994999999999,0,0.0,withdrawal,reflexive,29,,5.800005800005801,,1.1153846153846154,,0.0,5.800005800005801
4,M1,M,Day1 no drug,Baseline (no injection),30.00003000003,50771,0.0,1692.3649743,block1_Mild touch,stimulus,1,1,Mild touch,26,299.9997,4.999994999999999,0,0.0,flinch,reflexive,18,,3.6000036000036006,,0.6923076923076923,,0.0,3.6000036000036006
4,M1,M,Day1 no drug,Baseline (no injection),30.00003000003,50771,0.0,1692.3649743,block2_Light touch,stimulus,2,2,Light touch,28,299.9997,4.999994999999999,0,0.0,attending,affective,4,1.6666649999999998,0.8000008000008001,0.5555555555555556,0.1428571428571428,0.0595237499999999,0.0,0.8000008000008001
4,M1,M,Day1 no drug,Baseline (no injection),30.00003000003,50771,0.0,1692.3649743,block2_Light touch,stimulus,2,2,Light touch,28,299.9997,4.999994999999999,0,0.0,lickbite,affective,7,10.5666561,1.4000014000014005,3.5222222222222226,0.25,0.377380575,0.0,1.4000014000014005
4,M1,M,Day1 no drug,Baseline (no injection),30.00003000003,50771,0.0,1692.3649743,block2_Light touch,stimulus,2,2,Light touch,28,299.9997,4.999994999999999,0,0.0,guarding,affective,2,4.699995299999999,0.4000004000004,1.5666666666666669,0.0714285714285714,0.167856975,0.0,0.4000004000004
4,M1,M,Day1 no drug,Baseline (no injection),30.00003000003,50771,0.0,1692.3649743,block2_Light touch,stimulus,2,2,Light touch,28,299.9997,4.999994999999999,0,0.0,escape,affective,16,21.0999789,3.2000032000032004,7.033333333333335,0.5714285714285714,0.753570675,3.4000034000034005,-0.20000020000020013
4,M1,M,Day1 no drug,Baseline (no injection),30.00003000003,50771,0.0,1692.3649743,block2_Light touch,stimulus,2,2,Light touch,28,299.9997,4.999994999999999,0,0.0,withdrawal,reflexive,21,,4.200004200004201,,0.75,,0.0,4.200004200004201
4,M1,M,Day1 no drug,Baseline (no injection),30.00003000003,50771,0.0,1692.3649743,block2_Light touch,stimulus,2,2,Light touch,28,299.9997,4.999994999999999,0,0.0,flinch,reflexive,28,,5.600005600005601,,1.0,,0.0,5.600005600005601
4,M1,M,Day1 no drug,Baseline (no injection),30.00003000003,50771,0.0,1692.3649743,block3_Heat,stimulus,3,3,Heat,22,299.9997,4.999994999999999,0,0.0,attending,affective,15,16.1333172,3.000003000003,5.377777777777779,0.6818181818181818,0.7333326,0.0,3.000003000003
4,M1,M,Day1 no drug,Baseline (no injection),30.00003000003,50771,0.0,1692.3649743,block3_Heat,stimulus,3,3,Heat,22,299.9997,4.999994999999999,0,0.0,lickbite,affective,9,6.1999938,1.8000018000018003,2.066666666666667,0.4090909090909091,0.2818179,0.0,1.8000018000018003
4,M1,M,Day1 no drug,Baseline (no injection),30.00003000003,50771,0.0,1692.3649743,block3_Heat,stimulus,3,3,Heat,22,299.9997,4.999994999999999,0,0.0,guarding,affective,9,10.1333232,1.8000018000018003,3.377777777777778,0.4090909090909091,0.4606056,0.0,1.8000018000018003
4,M1,M,Day1 no drug,Baseline (no injection),30.00003000003,50771,0.0,1692.3649743,block3_Heat,stimulus,3,3,Heat,22,299.9997,4.999994999999999,0,0.0,escape,affective,11,14.633318699999998,2.2000022000022,4.877777777777777,0.5,0.66515085,3.4000034000034005,-1.2000012000012004
4,M1,M,Day1 no drug,Baseline (no injection),30.00003000003,50771,0.0,1692.3649743,block3_Heat,stimulus,3,3,Heat,22,299.9997,4.999994999999999,0,0.0,withdrawal,reflexive,18,,3.6000036000036006,,0.8181818181818182,,0.0,3.6000036000036006
4,M1,M,Day1 no drug,Baseline (no injection),30.00003000003,50771,0.0,1692.3649743,block3_Heat,stimulus,3,3,Heat,22,299.9997,4.999994999999999,0,0.0,flinch,reflexive,60,,12.000012000012,,2.727272727272727,,0.0,12.000012000012
4,M1,M,Day1 no drug,Baseline (no injection),30.00003000003,50771,0.0,1692.3649743,block4_Pin prick,stimulus,4,4,Pin prick,24,299.9997,4.999994999999999,0,0.0,attending,affective,8,10.1333232,1.6000016000016002,3.377777777777778,0.3333333333333333,0.4222218,0.0,1.6000016000016002
4,M1,M,Day1 no drug,Baseline (no injection),30.00003000003,50771,0.0,1692.3649743,block4_Pin prick,stimulus,4,4,Pin prick,24,299.9997,4.999994999999999,0,0.0,lickbite,affective,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,M1,M,Day1 no drug,Baseline (no injection),30.00003000003,50771,0.0,1692.3649743,block4_Pin prick,stimulus,4,4,Pin prick,24,299.9997,4.999994999999999,0,0.0,guarding,affective,9,10.1333232,1.8000018000018003,3.377777777777778,0.375,0.4222218,0.0,1.8000018000018003
